id,regexp,date
15,"""(?iu)(астероид|апофис)""",25.01.2019
13,"""(?iu)((британ)\\p{L}*.*?(виз))""",29.01.2019
9,"""(?iu)((гугл|google)\\p{L}*.*?(удал\\p{L}*))""",06.02.2019
8,"""(?iu)(джим керри\\p{L}*.*?(исполнит|играть|сыграет)\\p{L}*.*?петербур\\p{L}*)""",07.02.2019
5,"""(?iu)((гараж|запрет|покуп)\\p{L}*.*?(гараж|запрет|покуп))""",16.02.2019
85,"""(?iu)((сжеч\\p{L}*.*арашуков)|арашуков\\p{L}*.*сжеч)""",27.02.2019
83,"""(?iu)(взрыв\\p{L}*.*ваганьк)""",15.06.2019
89,"""(?iu)(оливер\\p{L}*.*стоун\\p{L}*.*италь)""",07.07.2019
90,"""(?iu)((политик|саакашвили)\\p{L}*.*(сломал\\p{L}*.*рук|удари|пенсионер|перелом\\p{L}*.*рук))""",10.07.2019
91,"""(?iu)((путин|президент)\\p{L}*.*(ветрян\\p{L}*.*мельниц|ветров\\p{L}*.*устан|альтерн\\p{L}*.*источн))""",10.07.2019
82,"""(?iu)(португ\\p{L}*.*дрон)""",15.07.2019
93,"""(?iu)((венесуэл\\p{L}*.*(свет|электро))|(блэкаут\\p{L}*.*венесуэл))""",23.07.2019
92,"""(?iu)(доллар\\p{L}*.*миров\\p{L}*.*резерв\\p{L}*.*валют)""",25.07.2019
81,"""(?iu)((твит\\p{L}*.*холодил)|(умный\\p{L}*.*холодильник))""",14.08.2019
94,"""(?iu)((грузи\\p{L}*.*убытк\\p{L}*.*туроперат)|(потер\\p{L}*.*туристич)|((турист|туроперат)\\p{L}*.*бюдже\\p{L}*.*грузии)|(грузи\\p{L}*.*курорт\\p{L}*.*провал))""",14.08.2019
95,"""(?iu)(групп\\p{L}*.*?вагнер)""",20.11.2019
96,"""(?iu)((депутат|ямполь)\\p{L}*.*?театр)""",28.11.2019
97,"""(?iu)(гришечкин)""",29.11.2019
98,"""(?iu)((украин|росси)\\p{L}*.*?унитаз)""",20.11.2019
99,"""(?iu)((калуг\\p{L}*.*?москв)|(калуг\\p{L}*.*?2030))""",10.11.2019
100,"""(?iu)((задерж\\p{L}*.*?моралес)|(ордер\\p{L}*.*?моралес))""",11.11.2019
101,"""(?iu)((галкин\\p{L}*.*?работ\\p{L}*.*?шутк)|(галкин\\p{L}*.*?увол\\p{L}*.*?путин))""",12.11.2019
102,"""(?iu)(олонец\\p{L}*.*?прокопьев)""",05.11.2019
103,"""(?iu)((умер\\p{L}*.*?михайлов)|(смерт\\p{L}*.*?михайлов))""",6.11.2019
104,"""(?iu)((уран\\p{L}*.*?германи)|((транспорт|импорт)\\p{L}*.*?уран))""",23.10.2019
105,"""(?iu)(ликвидация\\p{L}*.*? sunlight)""",29.08.2019
106,"""(?iu)(анапа\\p{L}*.*?трихинел)""",10.10.2019